Indicator name
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Rural"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Second Quintile"
Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math
"Learning Deprivation Severity;PISA-D 2017 for grade 15Y using  for math, Rural"
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Second Quintile"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, First Quintile"
Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Second Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Second Quintile"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Rural"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Third Quintile"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Urban"
Expected Years of School
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Female"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Female"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Rural"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile"
"Survival Rate from Age 15-60, Female"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Male"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for reading, Female"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Third Quintile"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Urban"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Fifth Quintile"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Second Quintile"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Urban"
"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fifth Quintile"
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Female"
Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, Rural"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for math, Fourth Quintile"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for reading, Second Quintile"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Third Quintile"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Female"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Fifth Quintile"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for reading, First Quintile"
Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, First Quintile"
"Fraction of Children Under 5 Not Stunted, Female"
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math, Fourth Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Male"
Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, First Quintile"
"Learning Deprivation Severity;PISA-D 2017 for grade 15Y using  for math, First Quintile"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Urban"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for reading, First Quintile"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, Female"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for science, Rural"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for math, Fourth Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Urban"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science, First Quintile"
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fourth Quintile"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for math, Rural"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for science, First Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Fourth Quintile"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Fourth Quintile"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for reading, Second Quintile"
NA
Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, First Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Urban"
Fraction of Children Under 5 Not Stunted
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Third Quintile"
"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for science, Female"
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for reading, Second Quintile"
Harmonized Test Scores
Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Urban"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Fifth Quintile"
"Learning Deprivation Severity;PISA-D 2017 for grade 15Y using  for math, Fourth Quintile"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for science, First Quintile"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Second Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for math, Rural"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for reading, Fifth Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Rural"
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Male"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Second Quintile"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Female"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Fourth Quintile"
Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math
Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, Female"
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math, Second Quintile"
Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for science
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Severity;PISA 2009 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for science, Rural"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for science, Fifth Quintile"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Female"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Second Quintile"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for science, Second Quintile"
"Probability of Survival to Age 5, Male"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Fourth Quintile"
"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Third Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Male"
Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for science
"Learning Deprivation Gap;PISA 2006 for grade 15Y using MPL Level 2 for math, Female"
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for math, Fifth Quintile"
"Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for reading, Rural"
"Learning Deprivation Gap;PISA 2009 for grade 15Y using MPL Level 2 for reading, Male"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Second Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for reading, Urban"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Second Quintile"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, Male"
"Learning Deprivation Severity;PISA-D 2017 for grade 15Y using  for math, Female"
"Learning Deprivation Gap;PISA 2012 for grade 15Y using MPL Level 2 for reading, Fourth Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Third Quintile"
"Learning Deprivation Severity;PISA 2012 for grade 15Y using MPL Level 2 for math, Urban"
Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for math, Second Quintile"
"Learning Deprivation Severity;PISA 2018 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Gap;PISA 2000 for grade 15Y using MPL Level 2 for math, Fifth Quintile"
"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, First Quintile"
"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Fifth Quintile"
"Learning Deprivation Gap;PISA 2018 for grade 15Y using MPL Level 2 for science, Fifth Quintile"
"Learning Deprivation Gap;PISA 2015 for grade 15Y using MPL Level 2 for math, Urban"
"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for reading, Third Quintile"
